NSP4
E
NS7a
NSP5
NS7b
NSP6
NSP7
NSP8
Spike
NSP9
NSP10
NSP11
NSP12
M
NSP13
N
NSP14
NS3
NSP15
NSP16
NS9b
NS6
NS9c
NSP1
NSP2
NS8
NSP3
