protein	date	y
NSP3	2021-01-25	0.50
NSP4	2021-03-18	0.00
E	2021-03-18	0.50
NS7a	2021-03-18	0.00
NSP5	2021-03-18	0.00
NS7b	2021-03-18	0.00
NSP6	2021-03-18	0.00
NSP7	2021-03-18	0.00
NSP8	2021-03-18	0.50
Spike	2021-03-18	4.50
NSP9	2021-03-18	0.00
NSP10	2021-03-18	0.00
NSP11	2021-03-18	0.00
NSP12	2021-03-18	1.00
M	2021-03-18	0.00
NSP13	2021-03-18	0.50
N	2021-03-18	2.00
NSP14	2021-03-18	0.00
NS3	2021-03-18	0.00
NSP15	2021-03-18	0.50
NSP16	2021-03-18	0.00
NS9b	2021-03-18	0.00
NS6	2021-03-18	0.00
NS9c	2021-03-18	0.00
NSP1	2021-03-18	0.00
NSP2	2021-03-18	0.50
NS8	2021-03-18	1.50
NSP3	2021-03-18	2.00
NSP4	2021-03-23	1.00
E	2021-03-23	0.00
NS7a	2021-03-23	0.00
NSP5	2021-03-23	0.00
NS7b	2021-03-23	0.00
NSP6	2021-03-23	0.50
NSP7	2021-03-23	0.00
NSP8	2021-03-23	0.00
Spike	2021-03-23	3.00
NSP9	2021-03-23	0.50
NSP10	2021-03-23	0.00
NSP11	2021-03-23	0.00
NSP12	2021-03-23	0.50
M	2021-03-23	0.00
NSP13	2021-03-23	0.50
N	2021-03-23	1.00
NSP14	2021-03-23	0.00
NS3	2021-03-23	0.50
NSP15	2021-03-23	0.00
NSP16	2021-03-23	0.00
NS9b	2021-03-23	0.00
NS6	2021-03-23	0.00
NS9c	2021-03-23	0.00
NSP1	2021-03-23	0.00
NSP2	2021-03-23	0.50
NS8	2021-03-23	0.00
NSP3	2021-03-23	1.00
NSP4	2021-03-24	0.00
E	2021-03-24	0.50
NS7a	2021-03-24	0.00
NSP5	2021-03-24	0.00
NS7b	2021-03-24	0.50
NSP6	2021-03-24	0.50
NSP7	2021-03-24	0.00
NSP8	2021-03-24	0.50
Spike	2021-03-24	5.50
NSP9	2021-03-24	0.00
NSP10	2021-03-24	0.00
NSP11	2021-03-24	0.00
NSP12	2021-03-24	1.00
M	2021-03-24	0.00
NSP13	2021-03-24	1.00
N	2021-03-24	3.50
NSP14	2021-03-24	0.00
NS3	2021-03-24	0.50
