protein	date	y
NSP15	2020-08-24	0.00
NSP16	2020-08-24	0.00
NS9b	2020-08-24	0.00
NS6	2020-08-24	0.00
NS9c	2020-08-24	0.00
NSP1	2020-08-24	0.00
NSP2	2020-08-24	2.00
NS8	2020-08-24	0.00
NSP3	2020-08-24	0.00
NSP4	2020-10-06	0.00
E	2020-10-06	0.00
NS7a	2020-10-06	0.00
NSP5	2020-10-06	0.00
NS7b	2020-10-06	0.00
NSP6	2020-10-06	0.00
NSP7	2020-10-06	0.00
NSP8	2020-10-06	0.00
Spike	2020-10-06	1.00
NSP9	2020-10-06	0.00
NSP10	2020-10-06	0.00
NSP11	2020-10-06	0.00
NSP12	2020-10-06	0.50
M	2020-10-06	0.00
NSP13	2020-10-06	0.00
N	2020-10-06	1.00
NSP14	2020-10-06	0.00
NS3	2020-10-06	0.00
NSP15	2020-10-06	0.00
NSP16	2020-10-06	0.00
NS9b	2020-10-06	0.00
NS6	2020-10-06	0.00
NS9c	2020-10-06	0.00
NSP1	2020-10-06	0.00
NSP2	2020-10-06	0.00
NS8	2020-10-06	0.00
NSP3	2020-10-06	0.50
NSP4	2020-11-11	0.00
E	2020-11-11	0.00
NS7a	2020-11-11	0.00
NSP5	2020-11-11	0.00
NS7b	2020-11-11	0.00
NSP6	2020-11-11	0.00
NSP7	2020-11-11	0.00
NSP8	2020-11-11	0.00
Spike	2020-11-11	0.00
NSP9	2020-11-11	0.00
NSP10	2020-11-11	0.00
NSP11	2020-11-11	0.00
NSP12	2020-11-11	0.00
M	2020-11-11	0.00
NSP13	2020-11-11	0.00
N	2020-11-11	0.00
NSP14	2020-11-11	0.00
NS3	2020-11-11	0.00
NSP15	2020-11-11	0.00
NSP16	2020-11-11	0.00
NS9b	2020-11-11	0.00
NS6	2020-11-11	0.00
NS9c	2020-11-11	0.00
NSP1	2020-11-11	0.00
NSP2	2020-11-11	0.00
NS8	2020-11-11	0.00
NSP3	2020-11-11	0.00
NSP4	2020-12-01	0.00
E	2020-12-01	0.00
NS7a	2020-12-01	0.00
NSP5	2020-12-01	0.00
NS7b	2020-12-01	0.00
NSP6	2020-12-01	0.00
NSP7	2020-12-01	0.00
NSP8	2020-12-01	0.00
Spike	2020-12-01	0.00
NSP9	2020-12-01	0.00
NSP10	2020-12-01	0.00
NSP11	2020-12-01	0.00
NSP12	2020-12-01	0.00
M	2020-12-01	0.00
NSP13	2020-12-01	0.00
N	2020-12-01	0.00
NSP14	2020-12-01	0.00
NS3	2020-12-01	0.00
NSP15	2020-12-01	0.00
NSP16	2020-12-01	0.00
NS9b	2020-12-01	0.00
NS6	2020-12-01	0.00
NS9c	2020-12-01	0.00
NSP1	2020-12-01	0.00
NSP2	2020-12-01	0.00
NS8	2020-12-01	0.00
NSP3	2020-12-01	0.00
NSP4	2021-01-01	0.00
E	2021-01-01	0.50
NS7a	2021-01-01	0.00
NSP5	2021-01-01	0.50
NS7b	2021-01-01	0.00
NSP6	2021-01-01	0.00
NSP7	2021-01-01	0.00
NSP8	2021-01-01	0.00
Spike	2021-01-01	1.50
NSP9	2021-01-01	0.00
NSP10	2021-01-01	0.00
NSP11	2021-01-01	0.00
NSP12	2021-01-01	0.50
M	2021-01-01	0.00
NSP13	2021-01-01	0.00
N	2021-01-01	0.50
NSP14	2021-01-01	0.00
NS3	2021-01-01	0.50
NSP15	2021-01-01	0.00
NSP16	2021-01-01	0.00
NS9b	2021-01-01	0.00
NS6	2021-01-01	0.00
NS9c	2021-01-01	0.00
NSP1	2021-01-01	0.00
NSP2	2021-01-01	1.00
NS8	2021-01-01	0.00
NSP3	2021-01-01	0.50
NSP4	2021-04-12	0.00
E	2021-04-12	0.00
NS7a	2021-04-12	0.00
NSP5	2021-04-12	0.00
NS7b	2021-04-12	0.00
NSP6	2021-04-12	0.00
NSP7	2021-04-12	0.00
NSP8	2021-04-12	0.00
Spike	2021-04-12	7.00
NSP9	2021-04-12	0.00
NSP10	2021-04-12	0.00
NSP11	2021-04-12	0.00
NSP12	2021-04-12	1.00
M	2021-04-12	0.00
NSP13	2021-04-12	0.00
N	2021-04-12	4.00
NSP14	2021-04-12	0.00
NS3	2021-04-12	0.00
NSP15	2021-04-12	0.00
NSP16	2021-04-12	0.00
NS9b	2021-04-12	0.00
NS6	2021-04-12	0.00
NS9c	2021-04-12	0.00
NSP1	2021-04-12	0.00
NSP2	2021-04-12	0.00
NS8	2021-04-12	3.00
NSP3	2021-04-12	3.00
NSP4	2021-04-14	0.00
E	2021-04-14	0.00
NS7a	2021-04-14	0.00
NSP5	2021-04-14	0.00
NS7b	2021-04-14	0.00
NSP6	2021-04-14	0.50
NSP7	2021-04-14	0.00
NSP8	2021-04-14	0.00
Spike	2021-04-14	3.50
NSP9	2021-04-14	0.00
NSP10	2021-04-14	0.00
NSP11	2021-04-14	0.00
NSP12	2021-04-14	1.00
M	2021-04-14	0.00
NSP13	2021-04-14	0.00
N	2021-04-14	2.00
NSP14	2021-04-14	0.50
NS3	2021-04-14	0.00
NSP15	2021-04-14	0.00
NSP16	2021-04-14	0.00
NS9b	2021-04-14	0.00
