protein	date	y
NS6	2020-06-20	0.00
NS9c	2020-06-20	0.00
NSP1	2020-06-20	0.00
NSP2	2020-06-20	0.00
NS8	2020-06-20	0.00
NSP3	2020-06-20	0.00
NSP4	2020-06-21	0.00
E	2020-06-21	0.00
NS7a	2020-06-21	0.00
NSP5	2020-06-21	0.00
NS7b	2020-06-21	0.00
NSP6	2020-06-21	0.00
NSP7	2020-06-21	0.00
NSP8	2020-06-21	0.00
Spike	2020-06-21	0.50
NSP9	2020-06-21	0.00
NSP10	2020-06-21	0.00
NSP11	2020-06-21	0.00
NSP12	2020-06-21	0.00
M	2020-06-21	0.00
NSP13	2020-06-21	0.00
N	2020-06-21	1.00
NSP14	2020-06-21	0.00
NS3	2020-06-21	0.00
NSP15	2020-06-21	0.00
NSP16	2020-06-21	0.00
NS9b	2020-06-21	0.00
NS6	2020-06-21	0.00
NS9c	2020-06-21	0.00
NSP1	2020-06-21	0.00
NSP2	2020-06-21	0.50
NS8	2020-06-21	0.00
NSP3	2020-06-21	0.00
NSP4	2020-07-01	0.00
E	2020-07-01	0.00
NS7a	2020-07-01	0.00
NSP5	2020-07-01	0.00
NS7b	2020-07-01	0.00
NSP6	2020-07-01	0.00
NSP7	2020-07-01	0.00
NSP8	2020-07-01	0.00
Spike	2020-07-01	1.00
NSP9	2020-07-01	0.00
NSP10	2020-07-01	0.00
NSP11	2020-07-01	0.00
NSP12	2020-07-01	0.00
M	2020-07-01	0.00
NSP13	2020-07-01	0.00
N	2020-07-01	2.00
NSP14	2020-07-01	0.00
NS3	2020-07-01	0.00
NSP15	2020-07-01	0.00
NSP16	2020-07-01	0.00
NS9b	2020-07-01	0.00
NS6	2020-07-01	0.00
NS9c	2020-07-01	0.00
NSP1	2020-07-01	0.00
NSP2	2020-07-01	0.00
NS8	2020-07-01	0.00
NSP3	2020-07-01	0.00
NSP4	2020-07-07	0.00
E	2020-07-07	0.00
NS7a	2020-07-07	0.00
NSP5	2020-07-07	0.00
NS7b	2020-07-07	0.00
NSP6	2020-07-07	0.00
NSP7	2020-07-07	0.00
NSP8	2020-07-07	0.00
Spike	2020-07-07	0.50
NSP9	2020-07-07	0.00
NSP10	2020-07-07	0.00
NSP11	2020-07-07	0.00
NSP12	2020-07-07	0.50
M	2020-07-07	0.00
NSP13	2020-07-07	0.00
N	2020-07-07	1.00
NSP14	2020-07-07	0.00
NS3	2020-07-07	0.00
NSP15	2020-07-07	0.00
NSP16	2020-07-07	0.00
NS9b	2020-07-07	0.00
NS6	2020-07-07	0.00
NS9c	2020-07-07	0.00
NSP1	2020-07-07	0.00
NSP2	2020-07-07	0.00
NS8	2020-07-07	0.00
NSP3	2020-07-07	0.50
NSP4	2020-07-08	0.00
E	2020-07-08	0.00
NS7a	2020-07-08	0.00
NSP5	2020-07-08	0.00
NS7b	2020-07-08	0.00
NSP6	2020-07-08	0.00
NSP7	2020-07-08	0.00
NSP8	2020-07-08	0.00
Spike	2020-07-08	1.00
NSP9	2020-07-08	0.00
NSP10	2020-07-08	0.00
NSP11	2020-07-08	0.00
NSP12	2020-07-08	1.00
M	2020-07-08	0.00
NSP13	2020-07-08	0.00
N	2020-07-08	2.00
NSP14	2020-07-08	0.00
NS3	2020-07-08	0.00
NSP15	2020-07-08	0.00
NSP16	2020-07-08	0.00
NS9b	2020-07-08	0.00
NS6	2020-07-08	0.00
NS9c	2020-07-08	0.00
NSP1	2020-07-08	0.00
NSP2	2020-07-08	1.00
NS8	2020-07-08	0.00
NSP3	2020-07-08	1.00
NSP4	2020-07-14	0.00
E	2020-07-14	0.00
NS7a	2020-07-14	0.00
NSP5	2020-07-14	0.00
NS7b	2020-07-14	0.00
NSP6	2020-07-14	0.00
NSP7	2020-07-14	0.00
NSP8	2020-07-14	0.00
Spike	2020-07-14	0.00
NSP9	2020-07-14	0.00
NSP10	2020-07-14	0.00
NSP11	2020-07-14	0.00
NSP12	2020-07-14	0.00
M	2020-07-14	0.00
NSP13	2020-07-14	0.50
N	2020-07-14	0.00
NSP14	2020-07-14	0.50
NS3	2020-07-14	0.00
NSP15	2020-07-14	0.00
NSP16	2020-07-14	0.00
NS9b	2020-07-14	0.00
NS6	2020-07-14	0.00
NS9c	2020-07-14	0.00
NSP1	2020-07-14	0.00
NSP2	2020-07-14	0.00
NS8	2020-07-14	0.00
NSP3	2020-07-14	0.00
NSP4	2020-07-15	0.50
E	2020-07-15	0.00
NS7a	2020-07-15	0.00
NSP5	2020-07-15	0.00
NS7b	2020-07-15	0.00
NSP6	2020-07-15	0.00
NSP7	2020-07-15	0.50
NSP8	2020-07-15	0.00
Spike	2020-07-15	0.50
NSP9	2020-07-15	0.00
NSP10	2020-07-15	0.00
NSP11	2020-07-15	0.00
NSP12	2020-07-15	1.00
M	2020-07-15	0.00
NSP13	2020-07-15	0.00
N	2020-07-15	2.00
NSP14	2020-07-15	0.00
NS3	2020-07-15	0.00
NSP15	2020-07-15	0.00
NSP16	2020-07-15	0.00
NS9b	2020-07-15	0.00
NS6	2020-07-15	0.00
NS9c	2020-07-15	0.00
NSP1	2020-07-15	0.00
NSP2	2020-07-15	0.00
NS8	2020-07-15	0.50
NSP3	2020-07-15	1.00
NSP4	2020-07-17	0.50
E	2020-07-17	0.00
NS7a	2020-07-17	0.00
NSP5	2020-07-17	0.00
NS7b	2020-07-17	0.00
NSP6	2020-07-17	0.00
NSP7	2020-07-17	0.00
NSP8	2020-07-17	0.00
Spike	2020-07-17	1.00
NSP9	2020-07-17	0.00
NSP10	2020-07-17	0.00
NSP11	2020-07-17	0.00
NSP12	2020-07-17	1.00
M	2020-07-17	0.00
NSP13	2020-07-17	0.50
N	2020-07-17	2.00
NSP14	2020-07-17	0.00
NS3	2020-07-17	0.50
NSP15	2020-07-17	0.50
NSP16	2020-07-17	0.00
NS9b	2020-07-17	0.00
NS6	2020-07-17	0.00
NS9c	2020-07-17	0.00
NSP1	2020-07-17	0.00
NSP2	2020-07-17	0.00
NS8	2020-07-17	0.50
NSP3	2020-07-17	1.00
NSP4	2020-07-20	0.00
E	2020-07-20	0.00
NS7a	2020-07-20	0.50
NSP5	2020-07-20	0.00
NS7b	2020-07-20	0.00
NSP6	2020-07-20	0.00
NSP7	2020-07-20	0.00
NSP8	2020-07-20	0.00
Spike	2020-07-20	1.50
NSP9	2020-07-20	0.00
NSP10	2020-07-20	0.00
NSP11	2020-07-20	0.00
NSP12	2020-07-20	1.00
M	2020-07-20	0.00
NSP13	2020-07-20	0.00
N	2020-07-20	3.00
NSP14	2020-07-20	0.00
NS3	2020-07-20	0.00
NSP15	2020-07-20	0.50
NSP16	2020-07-20	0.00
NS9b	2020-07-20	0.00
NS6	2020-07-20	0.00
NS9c	2020-07-20	0.00
NSP1	2020-07-20	0.00
NSP2	2020-07-20	0.00
NS8	2020-07-20	0.00
NSP3	2020-07-20	0.00
NSP4	2020-07-21	0.00
E	2020-07-21	0.00
NS7a	2020-07-21	0.00
NSP5	2020-07-21	0.00
NS7b	2020-07-21	0.00
NSP6	2020-07-21	0.00
NSP7	2020-07-21	0.00
NSP8	2020-07-21	0.00
Spike	2020-07-21	1.00
NSP9	2020-07-21	0.00
NSP10	2020-07-21	0.00
NSP11	2020-07-21	0.00
NSP12	2020-07-21	1.00
M	2020-07-21	0.00
NSP13	2020-07-21	0.00
N	2020-07-21	2.00
NSP14	2020-07-21	0.00
NS3	2020-07-21	0.00
NSP15	2020-07-21	0.00
NSP16	2020-07-21	0.00
NS9b	2020-07-21	0.00
NS6	2020-07-21	0.00
NS9c	2020-07-21	0.00
NSP1	2020-07-21	0.00
NSP2	2020-07-21	0.00
NS8	2020-07-21	0.00
NSP3	2020-07-21	0.00
NSP4	2020-07-22	0.00
E	2020-07-22	0.00
NS7a	2020-07-22	0.00
NSP5	2020-07-22	0.00
NS7b	2020-07-22	0.00
NSP6	2020-07-22	0.00
NSP7	2020-07-22	0.00
NSP8	2020-07-22	0.00
Spike	2020-07-22	1.00
NSP9	2020-07-22	0.00
NSP10	2020-07-22	0.00
NSP11	2020-07-22	0.00
NSP12	2020-07-22	1.00
M	2020-07-22	0.00
NSP13	2020-07-22	0.00
N	2020-07-22	2.00
NSP14	2020-07-22	0.00
NS3	2020-07-22	0.00
NSP15	2020-07-22	0.00
NSP16	2020-07-22	0.00
NS9b	2020-07-22	0.00
NS6	2020-07-22	0.00
NS9c	2020-07-22	0.00
NSP1	2020-07-22	0.00
NSP2	2020-07-22	0.00
NS8	2020-07-22	0.00
NSP3	2020-07-22	1.00
NSP4	2020-07-23	0.00
E	2020-07-23	0.00
NS7a	2020-07-23	0.00
NSP5	2020-07-23	0.00
NS7b	2020-07-23	0.00
NSP6	2020-07-23	0.00
NSP7	2020-07-23	0.00
NSP8	2020-07-23	0.00
Spike	2020-07-23	1.50
NSP9	2020-07-23	0.00
NSP10	2020-07-23	0.00
NSP11	2020-07-23	0.00
NSP12	2020-07-23	1.00
M	2020-07-23	0.00
NSP13	2020-07-23	0.00
N	2020-07-23	2.00
NSP14	2020-07-23	0.00
NS3	2020-07-23	0.00
NSP15	2020-07-23	0.00
NSP16	2020-07-23	0.00
NS9b	2020-07-23	0.00
NS6	2020-07-23	0.00
NS9c	2020-07-23	0.00
NSP1	2020-07-23	0.00
NSP2	2020-07-23	0.00
NS8	2020-07-23	0.00
NSP3	2020-07-23	0.50
NSP4	2020-07-24	0.00
E	2020-07-24	0.00
NS7a	2020-07-24	0.00
NSP5	2020-07-24	0.00
NS7b	2020-07-24	0.00
