protein	date	y
NSP7	2021-02-17	0.00
NSP8	2021-02-17	0.00
Spike	2021-02-17	3.00
NSP9	2021-02-17	0.00
NSP10	2021-02-17	0.00
NSP11	2021-02-17	0.00
NSP12	2021-02-17	0.50
M	2021-02-17	0.00
NSP13	2021-02-17	0.50
N	2021-02-17	1.00
NSP14	2021-02-17	0.00
NS3	2021-02-17	0.50
NSP15	2021-02-17	0.00
NSP16	2021-02-17	0.00
NS9b	2021-02-17	0.00
NS6	2021-02-17	0.00
NS9c	2021-02-17	0.00
NSP1	2021-02-17	0.00
NSP2	2021-02-17	0.00
NS8	2021-02-17	0.50
NSP3	2021-02-17	0.50
NSP4	2021-02-18	0.00
E	2021-02-18	0.00
NS7a	2021-02-18	0.00
NSP5	2021-02-18	0.50
NS7b	2021-02-18	0.00
NSP6	2021-02-18	0.50
NSP7	2021-02-18	0.00
NSP8	2021-02-18	0.00
Spike	2021-02-18	4.00
NSP9	2021-02-18	0.00
NSP10	2021-02-18	0.00
NSP11	2021-02-18	0.00
NSP12	2021-02-18	1.00
M	2021-02-18	0.00
NSP13	2021-02-18	0.00
N	2021-02-18	2.00
NSP14	2021-02-18	0.50
NS3	2021-02-18	1.50
NSP15	2021-02-18	0.00
NSP16	2021-02-18	0.50
NS9b	2021-02-18	0.00
NS6	2021-02-18	0.00
NS9c	2021-02-18	0.00
NSP1	2021-02-18	0.00
NSP2	2021-02-18	0.50
NS8	2021-02-18	1.00
NSP3	2021-02-18	1.50
NSP4	2021-02-19	2.00
E	2021-02-19	0.00
NS7a	2021-02-19	0.00
NSP5	2021-02-19	0.00
NS7b	2021-02-19	0.00
NSP6	2021-02-19	2.00
NSP7	2021-02-19	0.00
NSP8	2021-02-19	0.00
Spike	2021-02-19	6.00
NSP9	2021-02-19	0.00
NSP10	2021-02-19	0.00
NSP11	2021-02-19	0.00
NSP12	2021-02-19	1.00
M	2021-02-19	0.00
NSP13	2021-02-19	1.00
N	2021-02-19	2.00
NSP14	2021-02-19	0.00
NS3	2021-02-19	2.00
NSP15	2021-02-19	0.00
NSP16	2021-02-19	0.00
NS9b	2021-02-19	0.00
NS6	2021-02-19	0.00
NS9c	2021-02-19	0.00
NSP1	2021-02-19	0.00
NSP2	2021-02-19	0.00
NS8	2021-02-19	1.00
NSP3	2021-02-19	1.00
NSP4	2021-03-30	2.00
E	2021-03-30	0.00
NS7a	2021-03-30	0.00
NSP5	2021-03-30	0.00
NS7b	2021-03-30	0.00
NSP6	2021-03-30	1.50
NSP7	2021-03-30	0.00
NSP8	2021-03-30	0.00
Spike	2021-03-30	7.00
NSP9	2021-03-30	0.00
NSP10	2021-03-30	0.00
NSP11	2021-03-30	0.00
NSP12	2021-03-30	1.00
M	2021-03-30	0.00
NSP13	2021-03-30	0.50
N	2021-03-30	1.50
NSP14	2021-03-30	0.00
NS3	2021-03-30	1.00
NSP15	2021-03-30	0.00
NSP16	2021-03-30	0.00
NS9b	2021-03-30	0.00
NS6	2021-03-30	0.00
NS9c	2021-03-30	0.00
NSP1	2021-03-30	0.00
NSP2	2021-03-30	0.00
NS8	2021-03-30	0.00
NSP3	2021-03-30	1.50
NSP4	2021-04-15	1.50
E	2021-04-15	0.00
NS7a	2021-04-15	0.00
NSP5	2021-04-15	0.00
NS7b	2021-04-15	0.50
NSP6	2021-04-15	0.00
NSP7	2021-04-15	0.00
NSP8	2021-04-15	0.00
Spike	2021-04-15	4.50
NSP9	2021-04-15	0.00
NSP10	2021-04-15	0.00
NSP11	2021-04-15	0.00
NSP12	2021-04-15	1.50
M	2021-04-15	0.00
NSP13	2021-04-15	0.50
N	2021-04-15	1.00
NSP14	2021-04-15	0.00
NS3	2021-04-15	0.50
NSP15	2021-04-15	0.00
NSP16	2021-04-15	0.50
NS9b	2021-04-15	0.00
NS6	2021-04-15	0.00
NS9c	2021-04-15	0.00
NSP1	2021-04-15	0.00
NSP2	2021-04-15	0.00
NS8	2021-04-15	0.50
NSP3	2021-04-15	2.50
NSP4	2021-04-16	1.50
E	2021-04-16	0.00
NS7a	2021-04-16	0.00
NSP5	2021-04-16	0.00
NS7b	2021-04-16	0.50
NSP6	2021-04-16	0.00
NSP7	2021-04-16	0.00
NSP8	2021-04-16	0.00
Spike	2021-04-16	4.00
NSP9	2021-04-16	0.00
NSP10	2021-04-16	0.50
NSP11	2021-04-16	0.00
NSP12	2021-04-16	1.00
M	2021-04-16	0.00
NSP13	2021-04-16	0.50
N	2021-04-16	1.00
NSP14	2021-04-16	0.00
NS3	2021-04-16	1.00
NSP15	2021-04-16	0.00
NSP16	2021-04-16	0.00
NS9b	2021-04-16	0.00
NS6	2021-04-16	0.00
NS9c	2021-04-16	0.00
NSP1	2021-04-16	0.00
NSP2	2021-04-16	0.00
NS8	2021-04-16	0.50
NSP3	2021-04-16	2.00
NSP4	2021-04-20	3.00
E	2021-04-20	0.00
NS7a	2021-04-20	0.00
NSP5	2021-04-20	0.00
NS7b	2021-04-20	1.00
NSP6	2021-04-20	0.00
NSP7	2021-04-20	0.00
NSP8	2021-04-20	0.00
Spike	2021-04-20	9.00
NSP9	2021-04-20	0.00
NSP10	2021-04-20	0.00
NSP11	2021-04-20	0.00
NSP12	2021-04-20	3.00
M	2021-04-20	0.00
NSP13	2021-04-20	1.00
N	2021-04-20	2.00
NSP14	2021-04-20	0.00
NS3	2021-04-20	2.00
NSP15	2021-04-20	0.00
NSP16	2021-04-20	0.00
NS9b	2021-04-20	0.00
NS6	2021-04-20	0.00
NS9c	2021-04-20	0.00
NSP1	2021-04-20	0.00
NSP2	2021-04-20	0.00
NS8	2021-04-20	1.00
NSP3	2021-04-20	3.00
NSP4	2021-04-21	1.50
E	2021-04-21	0.00
NS7a	2021-04-21	0.00
NSP5	2021-04-21	0.00
NS7b	2021-04-21	0.50
NSP6	2021-04-21	12.50
NSP7	2021-04-21	0.00
NSP8	2021-04-21	0.00
Spike	2021-04-21	5.00
NSP9	2021-04-21	0.00
NSP10	2021-04-21	0.50
NSP11	2021-04-21	0.00
NSP12	2021-04-21	1.00
M	2021-04-21	0.00
NSP13	2021-04-21	0.50
N	2021-04-21	1.00
NSP14	2021-04-21	0.00
NS3	2021-04-21	0.00
NSP15	2021-04-21	0.00
NSP16	2021-04-21	0.50
NS9b	2021-04-21	0.00
NS6	2021-04-21	0.00
NS9c	2021-04-21	0.00
NSP1	2021-04-21	0.00
NSP2	2021-04-21	0.00
NS8	2021-04-21	0.50
NSP3	2021-04-21	2.00
NSP4	2021-04-22	3.00
E	2021-04-22	0.00
NS7a	2021-04-22	0.00
NSP5	2021-04-22	0.00
NS7b	2021-04-22	0.00
NSP6	2021-04-22	2.00
NSP7	2021-04-22	0.00
NSP8	2021-04-22	0.00
Spike	2021-04-22	8.00
NSP9	2021-04-22	0.00
NSP10	2021-04-22	0.00
NSP11	2021-04-22	0.00
NSP12	2021-04-22	1.00
M	2021-04-22	0.00
NSP13	2021-04-22	0.00
N	2021-04-22	2.00
NSP14	2021-04-22	0.00
NS3	2021-04-22	1.00
NSP15	2021-04-22	0.00
NSP16	2021-04-22	1.00
NS9b	2021-04-22	0.00
NS6	2021-04-22	0.00
NS9c	2021-04-22	0.00
NSP1	2021-04-22	0.00
NSP2	2021-04-22	0.00
NS8	2021-04-22	1.00
NSP3	2021-04-22	1.00
NSP4	2021-04-23	2.00
E	2021-04-23	0.50
NS7a	2021-04-23	0.00
NSP5	2021-04-23	0.00
NS7b	2021-04-23	0.50
NSP6	2021-04-23	0.00
NSP7	2021-04-23	0.00
NSP8	2021-04-23	0.00
Spike	2021-04-23	8.00
NSP9	2021-04-23	0.50
NSP10	2021-04-23	0.00
NSP11	2021-04-23	0.00
NSP12	2021-04-23	2.00
M	2021-04-23	0.00
NSP13	2021-04-23	1.00
N	2021-04-23	3.00
NSP14	2021-04-23	0.50
NS3	2021-04-23	0.50
NSP15	2021-04-23	0.50
NSP16	2021-04-23	0.00
NS9b	2021-04-23	0.00
NS6	2021-04-23	0.00
NS9c	2021-04-23	0.00
NSP1	2021-04-23	0.00
NSP2	2021-04-23	1.00
NS8	2021-04-23	1.50
NSP3	2021-04-23	4.50
NSP4	2021-04-24	3.00
E	2021-04-24	0.00
NS7a	2021-04-24	0.00
NSP5	2021-04-24	0.00
NS7b	2021-04-24	1.00
NSP6	2021-04-24	0.00
NSP7	2021-04-24	0.00
NSP8	2021-04-24	0.00
Spike	2021-04-24	10.00
NSP9	2021-04-24	0.00
NSP10	2021-04-24	0.00
NSP11	2021-04-24	0.00
NSP12	2021-04-24	2.50
M	2021-04-24	0.00
NSP13	2021-04-24	1.00
N	2021-04-24	2.00
NSP14	2021-04-24	0.00
NS3	2021-04-24	1.00
NSP15	2021-04-24	0.00
NSP16	2021-04-24	0.00
NS9b	2021-04-24	0.00
NS6	2021-04-24	0.00
NS9c	2021-04-24	0.00
NSP1	2021-04-24	0.00
NSP2	2021-04-24	0.00
NS8	2021-04-24	1.00
NSP3	2021-04-24	4.00
NSP4	2021-04-25	3.00
E	2021-04-25	0.00
NS7a	2021-04-25	0.00
NSP5	2021-04-25	0.00
NS7b	2021-04-25	0.00
NSP6	2021-04-25	2.00
NSP7	2021-04-25	0.00
NSP8	2021-04-25	0.00
Spike	2021-04-25	8.00
NSP9	2021-04-25	0.00
NSP10	2021-04-25	0.00
NSP11	2021-04-25	0.00
NSP12	2021-04-25	1.00
M	2021-04-25	0.00
NSP13	2021-04-25	1.00
N	2021-04-25	2.00
NSP14	2021-04-25	0.00
NS3	2021-04-25	1.00
NSP15	2021-04-25	0.00
NSP16	2021-04-25	0.00
NS9b	2021-04-25	0.00
NS6	2021-04-25	0.00
NS9c	2021-04-25	0.00
NSP1	2021-04-25	0.00
NSP2	2021-04-25	0.00
NS8	2021-04-25	0.00
NSP3	2021-04-25	2.00
NSP4	2021-04-26	3.00
E	2021-04-26	1.00
NS7a	2021-04-26	0.00
NSP5	2021-04-26	0.00
NS7b	2021-04-26	1.00
NSP6	2021-04-26	0.00
NSP7	2021-04-26	0.00
NSP8	2021-04-26	0.00
Spike	2021-04-26	9.50
NSP9	2021-04-26	0.50
NSP10	2021-04-26	0.00
NSP11	2021-04-26	0.00
NSP12	2021-04-26	2.00
M	2021-04-26	0.00
NSP13	2021-04-26	1.00
N	2021-04-26	2.00
NSP14	2021-04-26	0.00
NS3	2021-04-26	1.00
NSP15	2021-04-26	1.00
NSP16	2021-04-26	0.00
NS9b	2021-04-26	0.00
NS6	2021-04-26	0.00
NS9c	2021-04-26	0.00
NSP1	2021-04-26	0.00
NSP2	2021-04-26	0.00
NS8	2021-04-26	0.00
NSP3	2021-04-26	4.50
NSP4	2021-04-27	3.00
E	2021-04-27	0.00
NS7a	2021-04-27	0.00
NSP5	2021-04-27	0.00
NS7b	2021-04-27	1.00
NSP6	2021-04-27	0.00
NSP7	2021-04-27	0.00
NSP8	2021-04-27	0.00
Spike	2021-04-27	9.00
NSP9	2021-04-27	0.00
NSP10	2021-04-27	0.50
NSP11	2021-04-27	0.00
NSP12	2021-04-27	2.00
M	2021-04-27	0.00
NSP13	2021-04-27	1.00
N	2021-04-27	2.00
NSP14	2021-04-27	0.00
NS3	2021-04-27	1.00
NSP15	2021-04-27	0.00
NSP16	2021-04-27	0.50
NS9b	2021-04-27	0.00
NS6	2021-04-27	0.00
NS9c	2021-04-27	0.00
NSP1	2021-04-27	0.00
NSP2	2021-04-27	0.00
NS8	2021-04-27	1.00
NSP3	2021-04-27	3.50
NSP4	2021-05-04	3.00
E	2021-05-04	0.00
NS7a	2021-05-04	0.50
NSP5	2021-05-04	0.00
NS7b	2021-05-04	1.00
NSP6	2021-05-04	0.00
NSP7	2021-05-04	0.00
NSP8	2021-05-04	0.50
Spike	2021-05-04	8.50
NSP9	2021-05-04	0.00
NSP10	2021-05-04	0.00
NSP11	2021-05-04	0.00
NSP12	2021-05-04	2.00
M	2021-05-04	0.00
NSP13	2021-05-04	1.00
N	2021-05-04	2.00
NSP14	2021-05-04	0.50
NS3	2021-05-04	1.00
NSP15	2021-05-04	0.50
NSP16	2021-05-04	0.00
NS9b	2021-05-04	0.00
NS6	2021-05-04	0.00
NS9c	2021-05-04	0.00
NSP1	2021-05-04	0.00
NSP2	2021-05-04	0.50
NS8	2021-05-04	0.50
NSP3	2021-05-04	3.00
NSP4	2021-05-19	1.50
E	2021-05-19	0.00
NS7a	2021-05-19	0.00
NSP5	2021-05-19	0.00
NS7b	2021-05-19	0.50
NSP6	2021-05-19	0.00
NSP7	2021-05-19	0.00
NSP8	2021-05-19	0.00
Spike	2021-05-19	3.50
NSP9	2021-05-19	0.00
NSP10	2021-05-19	0.00
NSP11	2021-05-19	0.00
NSP12	2021-05-19	1.00
M	2021-05-19	0.00
NSP13	2021-05-19	0.50
N	2021-05-19	1.50
NSP14	2021-05-19	0.00
NS3	2021-05-19	0.50
NSP15	2021-05-19	0.00
NSP16	2021-05-19	0.00
NS9b	2021-05-19	0.00
NS6	2021-05-19	0.00
NS9c	2021-05-19	0.00
