Id	Score 	Druggability Score 	Number of Alpha Spheres 	Total SASA 	Polar SASA 	Apolar SASA 	Volume 	Mean local hydrophobic density 	Mean alpha sphere radius 	Mean alp. sph. solvent access 	Apolar alpha sphere proportion 	Hydrophobicity score	Volume score 	Polarity score	Charge score 	Proportion of polar atoms 	Alpha sphere density 	Cent. of mass - Alpha Sphere max dist 	Flexibility 
P1	0.387	0.795	56	169.723	54.998	114.725	571.830	22.071	3.903	0.504	0.500	7.706	 3.529	 9	 -1	43.902	6.319	15.078	0.305
P2	0.175	0.002	34	141.034	73.169	67.865	572.548	10.333	3.864	0.531	0.353	10.385	 4.000	 8	 2	48.485	4.955	12.331	0.515
P3	0.159	0.001	19	37.070	18.480	18.589	112.721	1.000	3.535	0.385	0.105	14.167	 4.833	 4	 0	50.000	2.060	5.465	0.522
P4	0.150	0.004	26	39.132	25.848	13.284	135.700	11.000	3.682	0.485	0.462	28.833	 4.833	 3	 -1	52.941	1.370	4.156	0.250
P5	0.124	0.000	17	61.138	28.057	33.081	247.827	2.000	4.020	0.554	0.176	25.727	 3.182	 6	 1	52.632	2.921	6.637	0.695
P6	0.114	0.002	15	66.407	30.178	36.229	301.844	7.000	3.857	0.705	0.533	31.286	 4.429	 4	 1	47.368	3.159	7.189	0.379
P7	0.083	0.000	21	46.109	26.786	19.322	152.259	1.000	4.123	0.655	0.095	12.286	 3.000	 3	 -1	43.750	1.427	3.005	0.217
P8	0.061	0.000	18	59.492	26.986	32.507	210.132	1.000	3.989	0.469	0.111	23.750	 3.500	 4	 0	64.286	2.052	4.529	0.526
P9	0.059	0.001	17	93.067	39.932	53.136	311.054	5.000	4.092	0.569	0.353	46.333	 4.667	 4	 1	41.176	3.598	8.759	0.644
P10	0.057	0.001	17	64.928	43.190	21.737	254.130	6.000	4.043	0.612	0.412	28.500	 4.400	 6	 0	50.000	2.310	4.723	0.749
P11	0.052	0.005	20	86.657	34.729	51.928	302.489	10.000	4.056	0.608	0.550	13.714	 4.286	 5	 3	44.444	2.967	7.582	0.475
P12	0.049	0.000	18	63.608	32.210	31.398	213.662	2.000	4.035	0.535	0.167	40.125	 5.500	 5	 1	33.333	2.095	4.356	0.296
P13	0.016	0.000	20	117.742	94.797	22.945	368.510	1.000	4.118	0.659	0.100	-13.556	 4.556	 8	 -1	68.182	3.872	8.277	0.296
P14	0.012	0.010	17	91.038	25.826	65.212	240.678	10.000	3.973	0.560	0.647	16.000	 3.700	 4	 0	31.250	3.023	6.378	0.738
P15	-0.025	0.000	15	81.674	53.661	28.013	177.245	3.000	3.857	0.524	0.267	17.500	 3.000	 3	 0	57.143	2.382	5.836	0.829
P16	-0.027	0.003	15	90.120	14.040	76.081	268.659	5.000	3.934	0.646	0.400	7.800	 2.800	 2	 0	30.769	2.755	6.891	0.509
